Data,11 - Taxa de juros - Selic - % a.d.
08/09/2020,7469
09/09/2020,7469
10/09/2020,7469
11/09/2020,7469
14/09/2020,7469
15/09/2020,7469
16/09/2020,7469
17/09/2020,7469
18/09/2020,7469
21/09/2020,7469
22/09/2020,7469
23/09/2020,7469
24/09/2020,7469
25/09/2020,7469
28/09/2020,7469
29/09/2020,7469
30/09/2020,7469
01/10/2020,7469
02/10/2020,7469
05/10/2020,7469
06/10/2020,7469
07/10/2020,7469
08/10/2020,7469
09/10/2020,7469
13/10/2020,7469
14/10/2020,7469
15/10/2020,7469
16/10/2020,7469
19/10/2020,7469
20/10/2020,7469
21/10/2020,7469
22/10/2020,7469
23/10/2020,7469
26/10/2020,7469
27/10/2020,7469
28/10/2020,7469
29/10/2020,7469
30/10/2020,7469
03/11/2020,7469
04/11/2020,7469
05/11/2020,7469
06/11/2020,7469
09/11/2020,7469
10/11/2020,7469
11/11/2020,7469
12/11/2020,7469
13/11/2020,7469
16/11/2020,7469
17/11/2020,7469
18/11/2020,7469
19/11/2020,7469
20/11/2020,7469
23/11/2020,7469
24/11/2020,7469
25/11/2020,7469
26/11/2020,7469
27/11/2020,7469
30/11/2020,7469
01/12/2020,7469
02/12/2020,7469
03/12/2020,7469
04/12/2020,7469
07/12/2020,7469
08/12/2020,7469
09/12/2020,7469
10/12/2020,7469
11/12/2020,7469
14/12/2020,7469
15/12/2020,7469
16/12/2020,7469
17/12/2020,7469
18/12/2020,7469
21/12/2020,7469
22/12/2020,7469
23/12/2020,7469
24/12/2020,7469
28/12/2020,7469
29/12/2020,7469
30/12/2020,7469
31/12/2020,7469
04/01/2021,7469
05/01/2021,7469
06/01/2021,7469
07/01/2021,7469
08/01/2021,7469
11/01/2021,7469
12/01/2021,7469
13/01/2021,7469
14/01/2021,7469
15/01/2021,7469
18/01/2021,7469
19/01/2021,7469
20/01/2021,7469
21/01/2021,7469
22/01/2021,7469
25/01/2021,7469
26/01/2021,7469
27/01/2021,7469
28/01/2021,7469
29/01/2021,7469
01/02/2021,7469
02/02/2021,7469
03/02/2021,7469
04/02/2021,7469
05/02/2021,7469
08/02/2021,7469
09/02/2021,7469
10/02/2021,7469
11/02/2021,7469
12/02/2021,7469
17/02/2021,7469
18/02/2021,7469
19/02/2021,7469
22/02/2021,7469
23/02/2021,7469
24/02/2021,7469
25/02/2021,7469
26/02/2021,7469
01/03/2021,7469
02/03/2021,7469
03/03/2021,7469
04/03/2021,7469
05/03/2021,7469
08/03/2021,7469
09/03/2021,7469
10/03/2021,7469
11/03/2021,7469
12/03/2021,7469
15/03/2021,7469
16/03/2021,7469
17/03/2021,7469
18/03/2021,10379
19/03/2021,10379
22/03/2021,10379
23/03/2021,10379
24/03/2021,10379
25/03/2021,10379
26/03/2021,10379
29/03/2021,10379
30/03/2021,10379
31/03/2021,10379
01/04/2021,10379
05/04/2021,10379
06/04/2021,10379
07/04/2021,10379
08/04/2021,10379
09/04/2021,10379
12/04/2021,10379
13/04/2021,10379
14/04/2021,10379
15/04/2021,10379
16/04/2021,10379
19/04/2021,10379
20/04/2021,10379
22/04/2021,10379
23/04/2021,10379
26/04/2021,10379
27/04/2021,10379
28/04/2021,10379
29/04/2021,10379
30/04/2021,10379
03/05/2021,10379
04/05/2021,10379
05/05/2021,10379
06/05/2021,13269
07/05/2021,13269
10/05/2021,13269
11/05/2021,13269
12/05/2021,13269
13/05/2021,13269
14/05/2021,13269
17/05/2021,13269
18/05/2021,13269
19/05/2021,13269
20/05/2021,13269
21/05/2021,13269
24/05/2021,13269
25/05/2021,13269
26/05/2021,13269
27/05/2021,13269
28/05/2021,13269
31/05/2021,13269
01/06/2021,13269
02/06/2021,13269
04/06/2021,13269
07/06/2021,13269
08/06/2021,13269
09/06/2021,13269
10/06/2021,13269
11/06/2021,13269
14/06/2021,13269
15/06/2021,13269
16/06/2021,13269
17/06/2021,16137
18/06/2021,16137
21/06/2021,16137
22/06/2021,16137
23/06/2021,16137
24/06/2021,16137
25/06/2021,16137
28/06/2021,16137
29/06/2021,16137
30/06/2021,16137
01/07/2021,16137
02/07/2021,16137
05/07/2021,16137
06/07/2021,16137
07/07/2021,16137
08/07/2021,16137
09/07/2021,16137
12/07/2021,16137
13/07/2021,16137
14/07/2021,16137
15/07/2021,16137
16/07/2021,16137
19/07/2021,16137
20/07/2021,16137
21/07/2021,16137
22/07/2021,16137
23/07/2021,16137
26/07/2021,16137
27/07/2021,16137
28/07/2021,16137
29/07/2021,16137
30/07/2021,16137
02/08/2021,16137
03/08/2021,16137
04/08/2021,16137
05/08/2021,19930
06/08/2021,19930
09/08/2021,19930
10/08/2021,19930
11/08/2021,19930
12/08/2021,19930
13/08/2021,19930
16/08/2021,19930
17/08/2021,19930
18/08/2021,19930
19/08/2021,19930
20/08/2021,19930
23/08/2021,19930
24/08/2021,19930
25/08/2021,19930
26/08/2021,19930
27/08/2021,19930
30/08/2021,19930
31/08/2021,19930
01/09/2021,19930
02/09/2021,19930
03/09/2021,19930
06/09/2021,19930
Fonte,
